企业名称,标题,URL,发布时间,来源,正文
交通银行,交通银行金华分行被罚104.25万，涉多项金融违规,http://finance.eastmoney.com/a/202601063610363546.html,2026-01-06 19:24:21,蓝鲸新闻,对黄某(交通银行股份有限公司金华婺州支行)、陈某(交通银行股份有限公司金华分行个人金融业务部)分别罚款1万元。
交通银行,交通银行注册资本增至883.6亿元,http://finance.eastmoney.com/a/202601073611482964.html,2026-01-07 16:39:25,证券日报,天眼查工商信息显示，近日，交通银行（601328）发生工商变更，注册资本由约742.6亿元增至约883.6亿元。
交通银行,交通银行获批收购浙江安吉交银村镇银行并设立分支机构,http://finance.eastmoney.com/a/202601083612844995.html,2026-01-08 17:22:09,北京商报,北京商报讯（记者孟凡霞周义力）1月8日，国家金融监督管理总局湖州监管分局发布《关于交通银行股份有限公司收购浙江安吉交银村镇银行股份有限公司并设立分支机构的批复》，同意交通银行收购浙江安吉交银村镇银行并设立交通银行湖州安吉支行、交通银行湖州安吉梅溪支行、交通银行湖州安吉天荒坪支行，承接浙江安吉交银村镇银行清产核资后的资产
交通银行,12.41亿元资金今日流出银行股,http://finance.eastmoney.com/a/202601093614293722.html,2026-01-09 17:25:28,证券时报网,主力资金流量（万元） 600036 招商银行 -0.67 0.48 -68629.34 601166 兴业银行 -0.38 0.28 -11925.02 601988 中国银行 -0.54 0.11 -10960.42 000001 平安银行 -0.43 0.51 -8863.73 601328
交通银行,数字人民币启动计息 银行加速场景生态布局,http://finance.eastmoney.com/a/202601103614684574.html,2026-01-10 02:29:35,中国经营网,中国银行（601988.SH）、工商银行（601398.SH）、农业银行（601288.SH）、建设银行（601939.SH）、交通银行（601328.SH）相继发布公告称，从2026年1月1日起，将为开立在该行的数字人民币实名钱包余额按照该行活期存款挂牌利率计付利息，计结息规则与活期存款一致
交通银行,4.65亿元主力资金今日抢筹银行板块,http://finance.eastmoney.com/a/202601133617401211.html,2026-01-13 16:51:10,证券时报网,0.56 0.24 4690.38 600926 杭州银行 3.70 1.67 3258.53 002966 苏州银行 1.35 1.11 3050.59 600015 华夏银行 -0.15 0.37 2935.16 601665 齐鲁银行 1.07 1.06 2512.80 601328
交通银行,真金白银促消费 交通银行金融“暖实力”助燃市场“消费力”,http://finance.eastmoney.com/a/202601143618885918.html,2026-01-14 15:15:32,新华网,交通银行积极响应国家扩内需、促消费号召，联动多地政府及商户，推出以旧换新、文化旅游及餐饮消费等主题优惠活动，配套多元化补贴，以真金白银激活消费潜力，为市场注入“暖动能”。
交通银行,银行行业今日净流出资金50.88亿元，招商银行等12股净流出资金超亿元,http://finance.eastmoney.com/a/202601143619021044.html,2026-01-14 17:20:15,证券时报网,1.58 0.57 -639.56 001227 兰州银行 -1.28 1.78 -585.81 601997 贵阳银行 -1.02 1.07 -501.36 601187 厦门银行 -1.66 0.63 -449.37 601528 瑞丰银行 -1.81 1.64 -154.81 601328
交通银行,交通银行汕头分行被罚25万，涉未按项目实际进度发放贷款,http://finance.eastmoney.com/a/202601173622531595.html,2026-01-17 18:17:03,蓝鲸新闻,蓝鲸新闻1月17日讯，近日，国家金融监督管理总局汕头监管分局发布罚单，剑指交通银行股份有限公司汕头分行。 罚单显示，该分行的主要违法违规行为是：未按照项目的实际进度发放贷款。 针对这一行为，国家金融监督管理总局汕头监管分局对其处以25万元罚款。
交通银行,8.04亿元主力资金今日撤离银行板块,http://finance.eastmoney.com/a/202601193623382180.html,2026-01-19 17:25:24,证券时报网,0.11 1.00 4465.41 601818 光大银行 -0.30 0.41 5791.97 601998 中信银行 1.18 0.19 6124.35 601009 南京银行 -0.29 0.42 7493.20 601229 上海银行 0.21 0.41 8321.45 601328
交通银行,交通银行信用卡业务“变阵” 转向属地深耕与分期价值战,http://finance.eastmoney.com/a/202601193623572797.html,2026-01-19 20:10:56,中国经营报,发力分期业务 记者观察到，交通银行正显著加大其在信用卡分期领域的投入。例如，交通银行信用卡推出一项汽车分期业务，最高100万元额度、最长贷款期限可达60期。同时，交通银行信用卡还推出年末分期优惠活动。
交通银行,14.72亿元主力资金今日抢筹银行板块,http://finance.eastmoney.com/a/202601203624711945.html,2026-01-20 16:46:27,证券时报网,银行行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600036 招商银行 0.47 0.54 22458.30 601288 农业银行 0.99 0.12 22217.80 601398 工商银行 0.13 0.11 20818.08 601328
交通银行,强势股追踪 主力资金连续5日净流入101股,http://finance.eastmoney.com/a/202601213626129540.html,2026-01-21 17:15:42,证券时报网,中国平安 5 9.38 2.71 -1.72 002558 巨人网络 8 8.65 4.66 7.48 600487 亨通光电 6 8.58 3.71 16.30 001280 中国铀业 5 6.36 3.77 29.36 000538 云南白药 13 6.10 8.60 -0.11 601328
交通银行,银行行业今日净流出资金4.47亿元，农业银行等5股净流出资金超5000万元,http://finance.eastmoney.com/a/202601213626132456.html,2026-01-21 17:15:56,证券时报网,1.27 0.59 3382.03 601009 南京银行 -1.23 0.52 4704.69 002142 宁波银行 1.16 0.66 6863.70 601229 上海银行 -0.92 0.44 9647.87 600919 江苏银行 -0.82 0.72 9684.90 601328
交通银行,银行行业资金流出榜：招商银行、华夏银行等净流出资金居前,http://finance.eastmoney.com/a/202601223627464262.html,2026-01-22 17:19:55,证券时报网,宁波银行 2.15 0.77 4193.25 600926 杭州银行 1.78 0.94 5017.08 601658 邮储银行 0.20 0.19 6140.15 601818 光大银行 0.60 0.47 7458.37 600016 民生银行 0.27 0.66 9892.94 601328
